complex_id	uniprot_a	uniprot_b	combined_score
P78537	P78537	P61244	1
P78537	P78537	P78537	1
P78537	P78537	Q13367	1
P78537	P78537	Q6QNY0	1
P78537	P78537	Q6QNY1	1
P78537	P78537	Q86YV9	1
P78537	P78537	Q8TDH9	1
P78537	P78537	Q92572	1
P78537	P78537	Q969F9	1
P78537	P78537	Q96EV8	1
P78537	P78537	Q9NUP1	1
P78537	P78537	Q9UL45	1
P78537	P78537	Q9UPZ3	1
P78537	P78537	Q9Y2T2	1
P78560	P78560	P42575	1
P78560	P78560	P78560	1
P78560	P78560	Q9HB75	1
P79251	P79251	O46563	1
P79251	P79251	O97681	1
P79251	P79251	P11019	1
P79251	P79251	P21282	1
P79251	P79251	P23956	1
P79251	P79251	P31404	1
P79251	P79251	P31407	1
P79251	P79251	P31408	1
P79251	P79251	P39942	1
P79251	P79251	P40682	1
P79251	P79251	P61420	1
P79251	P79251	P79251	1
P79251	P79251	P81103	1
P79251	P79251	P81134	1
P79251	P79251	Q28029	1
P79251	P79251	Q29466	1
P80204	P80204	P80204	1
P80217	P80217	P80217	1
P80217	P80217	Q13287	1
P80313	P80313	P11983	1
P80313	P80313	P42932	1
P80313	P80313	P80313	1
P80313	P80313	P80314	1
P80313	P80313	P80315	1
P80313	P80313	P80316	1
P80313	P80313	P80317	1
P80313	P80313	P80318	1
P80313	P80313	Q61390	1
P80314	P80314	P11983	1
P80314	P80314	P42932	1
P80314	P80314	P80313	1
P80314	P80314	P80314	1
P80314	P80314	P80315	1
P80314	P80314	P80316	1
P80314	P80314	P80317	1
P80314	P80314	P80318	1
P80314	P80314	Q61390	1
P80315	P80315	P11983	1
P80315	P80315	P42932	1
P80315	P80315	P80313	1
P80315	P80315	P80314	1
P80315	P80315	P80315	1
P80315	P80315	P80316	1
P80315	P80315	P80317	1
P80315	P80315	P80318	1
P80315	P80315	Q61390	1
P80316	P80316	P11983	1
P80316	P80316	P42932	1
P80316	P80316	P80313	1
P80316	P80316	P80314	1
P80316	P80316	P80315	1
P80316	P80316	P80316	1
P80316	P80316	P80317	1
P80316	P80316	P80318	1
P80316	P80316	Q61390	1
P80317	P80317	P11983	1
P80317	P80317	P42932	1
P80317	P80317	P80313	1
P80317	P80317	P80314	1
P80317	P80317	P80315	1
P80317	P80317	P80316	1
P80317	P80317	P80317	1
P80317	P80317	P80318	1
P80318	P80318	P11983	1
P80318	P80318	P42932	1
P80318	P80318	P80313	1
P80318	P80318	P80314	1
P80318	P80318	P80315	1
P80318	P80318	P80316	1
P80318	P80318	P80317	1
P80318	P80318	P80318	1
P80318	P80318	Q61390	1
P80430	P80430	P00406	1
P80430	P80430	P05503	1
P80430	P80430	P05505	1
P80430	P80430	P10818	1
P80430	P80430	P10888	1
P80430	P80430	P11240	1
P80430	P80430	P11950	1
P80430	P80430	P12075	1
P80430	P80430	P35171	1
P80430	P80430	P80430	1
P80430	P80430	P80431	1
P80430	P80430	P80432	1
P80430	P80430	P80433	1
P80431	P80431	P00406	1
P80431	P80431	P05503	1
P80431	P80431	P05505	1
P80431	P80431	P10818	1
P80431	P80431	P10888	1
P80431	P80431	P11240	1
P80431	P80431	P11950	1
P80431	P80431	P12075	1
P80431	P80431	P35171	1
P80431	P80431	P80430	1
P80431	P80431	P80431	1
P80431	P80431	P80432	1
P80431	P80431	P80433	1
P80432	P80432	P00406	1
P80432	P80432	P05503	1
P80432	P80432	P05505	1
P80432	P80432	P10818	1
P80432	P80432	P10888	1
P80432	P80432	P11240	1
P80432	P80432	P11950	1
P80432	P80432	P12075	1
P80432	P80432	P35171	1
P80432	P80432	P80430	1
P80432	P80432	P80431	1
P80432	P80432	P80432	1
P80432	P80432	P80433	1
P80433	P80433	P00406	1
P80433	P80433	P05503	1
P80433	P80433	P05505	1
P80433	P80433	P10818	1
P80433	P80433	P10888	1
P80433	P80433	P11240	1
P80433	P80433	P11950	1
P80433	P80433	P12075	1
P80433	P80433	P35171	1
P80433	P80433	P80430	1
P80433	P80433	P80431	1
P80433	P80433	P80432	1
P80433	P80433	P80433	1
P81103	P81103	P11019	1
P81103	P81103	P21282	1
P81103	P81103	P23956	1
P81103	P81103	P31404	1
P81103	P81103	P31407	1
P81103	P81103	P31408	1
P81103	P81103	P39942	1
